IMDb Rank,Movie Title,Reelgood Query URL
1,The Shawshank Redemption,https://reelgood.com/movie/the-shawshank-redemption-1994
2,The Godfather,https://reelgood.com/movie/the-godfather-1972
3,The Godfather Part II,https://reelgood.com/movie/the-godfather-part-ii-1974
4,The Dark Knight,https://reelgood.com/movie/the-dark-knight-2008
5,12 Angry Men,https://reelgood.com/movie/12-angry-men-1957
6,Schindlers List,https://reelgood.com/movie/schindlers-list-1993
7,The Lord of the Rings The Return of the King,https://reelgood.com/movie/the-lord-of-the-rings-the-return-of-the-king-2003
8,Pulp Fiction,https://reelgood.com/movie/pulp-fiction-1994
9,The Good the Bad and the Ugly,https://reelgood.com/movie/the-good-the-bad-and-the-ugly-1966
10,The Lord of the Rings The Fellowship of the Ring,https://reelgood.com/movie/the-lord-of-the-rings-the-fellowship-of-the-ring-2001
11,Fight Club,https://reelgood.com/movie/fight-club-1999
12,Forrest Gump,https://reelgood.com/movie/forrest-gump-1994
13,Inception,https://reelgood.com/movie/inception-2010
14,Star Wars Episode V - The Empire Strikes Back,https://reelgood.com/movie/star-wars-episode-v---the-empire-strikes-back-1980
15,The Lord of the Rings The Two Towers,https://reelgood.com/movie/the-lord-of-the-rings-the-two-towers-2002
16,The Matrix,https://reelgood.com/movie/the-matrix-1999
17,Goodfellas,https://reelgood.com/movie/goodfellas-1990
18,One Flew Over the Cuckoos Nest,https://reelgood.com/movie/one-flew-over-the-cuckoos-nest-1975
19,Seven Samurai,https://reelgood.com/movie/seven-samurai-1954
20,Se7en,https://reelgood.com/movie/se7en-1995
21,Life Is Beautiful,https://reelgood.com/movie/life-is-beautiful-1997
22,City of God,https://reelgood.com/movie/city-of-god-2002
23,The Silence of the Lambs,https://reelgood.com/movie/the-silence-of-the-lambs-1991
24,Its a Wonderful Life,https://reelgood.com/movie/its-a-wonderful-life-1946
25,Star Wars Episode IV - A New Hope,https://reelgood.com/movie/star-wars-episode-iv---a-new-hope-1977
26,Parasite,https://reelgood.com/movie/parasite-2019
27,Saving Private Ryan,https://reelgood.com/movie/saving-private-ryan-1998
28,Spirited Away,https://reelgood.com/movie/spirited-away-2001
29,The Green Mile,https://reelgood.com/movie/the-green-mile-1999
30,Interstellar,https://reelgood.com/movie/interstellar-2014
31,Léon The Professional,https://reelgood.com/movie/léon-the-professional-1994
32,The Usual Suspects,https://reelgood.com/movie/the-usual-suspects-1995
33,Harakiri,https://reelgood.com/movie/harakiri-1962
34,The Lion King,https://reelgood.com/movie/the-lion-king-1994
35,American History X,https://reelgood.com/movie/american-history-x-1998
36,The Pianist,https://reelgood.com/movie/the-pianist-2002
37,Terminator 2 Judgment Day,https://reelgood.com/movie/terminator-2-judgment-day-1991
38,Back to the Future,https://reelgood.com/movie/back-to-the-future-1985
39,Modern Times,https://reelgood.com/movie/modern-times-1936
40,Psycho,https://reelgood.com/movie/psycho-1960
41,Gladiator,https://reelgood.com/movie/gladiator-2000
