,imdb_id,actor
0,tt0111161,Tim Robbins
1,tt0111161,Morgan Freeman
2,tt0111161,Bob Gunton
3,tt0111161,William Sadler
4,tt0068646,Marlon Brando
5,tt0068646,Al Pacino
6,tt0068646,James Caan
7,tt0068646,Richard S. Castellano
8,tt0071562,Al Pacino
9,tt0071562,Robert Duvall
10,tt0071562,Diane Keaton
11,tt0071562,Robert De Niro
12,tt0468569,Christian Bale
13,tt0468569,Heath Ledger
14,tt0468569,Aaron Eckhart
15,tt0468569,Michael Caine
16,tt0050083,Martin Balsam
17,tt0050083,John Fiedler
18,tt0050083,Lee J. Cobb
19,tt0050083,E.G. Marshall
20,tt0108052,Liam Neeson
21,tt0108052,Ben Kingsley
22,tt0108052,Ralph Fiennes
23,tt0108052,Caroline Goodall
24,tt0167260,Noel Appleby
25,tt0167260,Ali Astin
26,tt0167260,Sean Astin
27,tt0167260,David Aston
28,tt0110912,Tim Roth
29,tt0110912,Amanda Plummer
30,tt0110912,Laura Lovelace
31,tt0110912,John Travolta
32,tt0060196,Eli Wallach
33,tt0060196,Clint Eastwood
34,tt0060196,Lee Van Cleef
35,tt0060196,Aldo Giuffrè
36,tt0120737,Alan Howard
37,tt0120737,Noel Appleby
38,tt0120737,Sean Astin
39,tt0120737,Sala Baker
40,tt0137523,Edward Norton
41,tt0137523,Brad Pitt
42,tt0137523,Meat Loaf
43,tt0137523,Zach Grenier
44,tt0109830,Tom Hanks
45,tt0109830,Rebecca Williams
46,tt0109830,Sally Field
47,tt0109830,Michael Conner Humphreys
48,tt1375666,Leonardo DiCaprio
49,tt1375666,Joseph Gordon-Levitt
50,tt1375666,Ellen Page
51,tt1375666,Tom Hardy
52,tt0080684,Mark Hamill
53,tt0080684,Harrison Ford
54,tt0080684,Carrie Fisher
55,tt0080684,Billy Dee Williams
56,tt0167261,Bruce Allpress
57,tt0167261,Sean Astin
58,tt0167261,John Bach
59,tt0167261,Sala Baker
60,tt0133093,Keanu Reeves
61,tt0133093,Laurence Fishburne
62,tt0133093,Carrie-Anne Moss
63,tt0133093,Hugo Weaving
64,tt0099685,Robert De Niro
65,tt0099685,Ray Liotta
66,tt0099685,Joe Pesci
67,tt0099685,Lorraine Bracco
68,tt0073486,Jack Nicholson
69,tt0073486,Louise Fletcher
70,tt0073486,Will Sampson
71,tt0073486,Michael Berryman
72,tt0047478,Toshirô Mifune
73,tt0047478,Takashi Shimura
74,tt0047478,Keiko Tsushima
75,tt0047478,Yukiko Shimazaki
76,tt0114369,Morgan Freeman
77,tt0114369,Andrew Kevin Walker
78,tt0114369,Daniel Zacapa
79,tt0114369,Brad Pitt
80,tt0118799,Roberto Benigni
81,tt0118799,Nicoletta Braschi
82,tt0118799,Giorgio Cantarini
83,tt0118799,Giustino Durano
84,tt0317248,Alexandre Rodrigues
85,tt0317248,Leandro Firmino
86,tt0317248,Phellipe Haagensen
87,tt0317248,Douglas Silva
88,tt0102926,Jodie Foster
89,tt0102926,Lawrence A. Bonney
90,tt0102926,Kasi Lemmons
91,tt0102926,Lawrence T. Wrentz
92,tt0038650,James Stewart
93,tt0038650,Donna Reed
94,tt0038650,Lionel Barrymore
95,tt0038650,Thomas Mitchell
96,tt0076759,Mark Hamill
97,tt0076759,Harrison Ford
98,tt0076759,Carrie Fisher
99,tt0076759,Peter Cushing
100,tt6751668,Kang-ho Song
101,tt6751668,Sun-kyun Lee
102,tt6751668,Yeo-jeong Jo
103,tt6751668,Woo-sik Choi
104,tt0120815,Tom Hanks
105,tt0120815,Tom Sizemore
106,tt0120815,Edward Burns
107,tt0120815,Barry Pepper
108,tt0245429,Rumi Hiiragi
109,tt0245429,Miyu Irino
110,tt0245429,Mari Natsuki
111,tt0245429,Takashi Naitô
112,tt0120689,Tom Hanks
113,tt0120689,David Morse
114,tt0120689,Bonnie Hunt
115,tt0120689,Michael Clarke Duncan
116,tt0816692,Ellen Burstyn
117,tt0816692,Matthew McConaughey
118,tt0816692,Mackenzie Foy
119,tt0816692,John Lithgow
120,tt0110413,Jean Reno
121,tt0110413,Gary Oldman
122,tt0110413,Natalie Portman
123,tt0110413,Danny Aiello
124,tt0114814,Stephen Baldwin
125,tt0114814,Gabriel Byrne
126,tt0114814,Benicio Del Toro
127,tt0114814,Kevin Pollak
128,tt0056058,Tatsuya Nakadai
129,tt0056058,Akira Ishihama
130,tt0056058,Shima Iwashita
131,tt0056058,Tetsurô Tanba
132,tt0110357,Rowan Atkinson
133,tt0110357,Matthew Broderick
134,tt0110357,Niketa Calame-Harris
135,tt0110357,Jim Cummings
136,tt0120586,Edward Norton
137,tt0120586,Edward Furlong
138,tt0120586,Beverly D'Angelo
139,tt0120586,Jennifer Lien
140,tt0253474,Adrien Brody
141,tt0253474,Emilia Fox
142,tt0253474,Michal Zebrowski
143,tt0253474,Ed Stoppard
144,tt0103064,Arnold Schwarzenegger
145,tt0103064,Linda Hamilton
146,tt0103064,Edward Furlong
147,tt0103064,Robert Patrick
148,tt0088763,Michael J. Fox
149,tt0088763,Christopher Lloyd
150,tt0088763,Lea Thompson
151,tt0088763,Crispin Glover
152,tt0027977,Charles Chaplin
153,tt0027977,Paulette Goddard
154,tt0027977,Henry Bergman
155,tt0027977,Tiny Sandford
156,tt0054215,Anthony Perkins
157,tt0054215,Vera Miles
158,tt0054215,John Gavin
159,tt0054215,Janet Leigh
160,tt0172495,Russell Crowe
161,tt0172495,Joaquin Phoenix
162,tt0172495,Connie Nielsen
163,tt0172495,Oliver Reed
164,tt0021749,Virginia Cherrill
165,tt0021749,Florence Lee
166,tt0021749,Harry Myers
167,tt0021749,Al Ernest Garcia
168,tt0407887,Leonardo DiCaprio
169,tt0407887,Matt Damon
170,tt0407887,Jack Nicholson
171,tt0407887,Mark Wahlberg
172,tt1675434,François Cluzet
173,tt1675434,Omar Sy
174,tt1675434,Anne Le Ny
175,tt1675434,Audrey Fleurot
176,tt2582802,Miles Teller
177,tt2582802,J.K. Simmons
178,tt2582802,Paul Reiser
179,tt2582802,Melissa Benoist
180,tt0482571,Hugh Jackman
181,tt0482571,Christian Bale
182,tt0482571,Michael Caine
183,tt0482571,Piper Perabo
184,tt0064116,Claudia Cardinale
185,tt0064116,Henry Fonda
186,tt0064116,Jason Robards
187,tt0064116,Charles Bronson
188,tt0095327,Tsutomu Tatsumi
189,tt0095327,Ayano Shiraishi
190,tt0095327,Yoshiko Shinohara
191,tt0095327,Akemi Yamaguchi
192,tt0034583,Humphrey Bogart
193,tt0034583,Ingrid Bergman
194,tt0034583,Paul Henreid
195,tt0034583,Claude Rains
196,tt7286456,Joaquin Phoenix
197,tt7286456,Robert De Niro
198,tt7286456,Zazie Beetz
199,tt7286456,Frances Conroy
200,tt0047396,James Stewart
201,tt0047396,Grace Kelly
202,tt0047396,Wendell Corey
203,tt0047396,Thelma Ritter
204,tt0095765,Antonella Attili
205,tt0095765,Enzo Cannavale
206,tt0095765,Isa Danieli
