,imdb_id,title
0,tt0111161,The Shawshank Redemption
1,tt0068646,The Godfather
2,tt0071562,The Godfather: Part II
3,tt0468569,The Dark Knight
4,tt0050083,12 Angry Men
5,tt0108052,Schindler's List
6,tt0167260,The Lord of the Rings: The Return of the King
7,tt0110912,Pulp Fiction
8,tt0060196,"The Good, the Bad and the Ugly"
9,tt0120737,The Lord of the Rings: The Fellowship of the Ring
10,tt0137523,Fight Club
11,tt0109830,Forrest Gump
12,tt1375666,Inception
13,tt0080684,Star Wars: Episode V - The Empire Strikes Back
14,tt0167261,The Lord of the Rings: The Two Towers
15,tt0133093,The Matrix
16,tt0099685,Goodfellas
17,tt0073486,One Flew Over the Cuckoo's Nest
18,tt0047478,Seven Samurai
19,tt0114369,Se7en
20,tt0118799,Life Is Beautiful
21,tt0317248,City of God
22,tt0102926,The Silence of the Lambs
23,tt0038650,It's a Wonderful Life
24,tt0076759,Star Wars: Episode IV - A New Hope
25,tt6751668,Parasite
26,tt0120815,Saving Private Ryan
27,tt0245429,Spirited Away
28,tt0120689,The Green Mile
29,tt0816692,Interstellar
30,tt0110413,Léon: The Professional
31,tt0114814,The Usual Suspects
32,tt0056058,Harakiri
33,tt0110357,The Lion King
34,tt0120586,American History X
35,tt0253474,The Pianist
36,tt0103064,Terminator 2: Judgment Day
37,tt0088763,Back to the Future
38,tt0027977,Modern Times
39,tt0054215,Psycho
40,tt0172495,Gladiator
41,tt0021749,City Lights
42,tt0407887,The Departed
43,tt1675434,The Intouchables
44,tt2582802,Whiplash
45,tt0482571,The Prestige
46,tt0064116,Once Upon a Time in the West
47,tt0095327,Grave of the Fireflies
48,tt0034583,Casablanca
49,tt7286456,Joker
50,tt0047396,Rear Window
51,tt0095765,Cinema Paradiso
52,tt0078748,Alien
53,tt0078788,Apocalypse Now
54,tt0209144,Memento
55,tt0082971,Raiders of the Lost Ark
56,tt0032553,The Great Dictator
57,tt0405094,The Lives of Others
58,tt1853728,Django Unchained
59,tt0050825,Paths of Glory
60,tt0081505,The Shining
61,tt4154756,Avengers: Infinity War
62,tt0910970,WALL·E
63,tt0066763,Anand
64,tt0043014,Sunset Blvd.
65,tt4633694,Spider-Man: Into the Spider-Verse
66,tt0119698,Princess Mononoke
67,tt0057012,Dr. Strangelove
68,tt0364569,Oldboy
69,tt0051201,Witness for the Prosecution
70,tt4154796,Avengers: Endgame
71,tt1345836,The Dark Knight Rises
72,tt0087843,Once Upon a Time in America
73,tt0090605,Aliens
74,tt6033368,Your Name
75,tt2380307,Coco
76,tt0169547,American Beauty
77,tt0112573,Braveheart
78,tt0082096,Das Boot
79,tt1187043,3 Idiots
80,tt0114709,Toy Story
81,tt0057565,High and Low
82,tt8579674,1917
84,tt0086190,Star Wars: Episode VI - Return of the Jedi
85,tt0086879,Amadeus
86,tt0105236,Reservoir Dogs
87,tt0361748,Inglourious Basterds
88,tt0119217,Good Will Hunting
89,tt0062622,2001: A Space Odyssey
90,tt0052357,Vertigo
91,tt0180093,Requiem for a Dream
92,tt0022100,M
93,tt5074352,Dangal
94,tt0338013,Eternal Sunshine of the Spotless Mind
95,tt0033467,Citizen Kane
96,tt2106476,The Hunt
98,tt0093058,Full Metal Jacket
99,tt0053125,North by Northwest
100,tt0066921,A Clockwork Orange
101,tt0040522,Bicycle Thieves
102,tt0012349,The Kid
103,tt0208092,Snatch
104,tt0045152,Singin' in the Rain
105,tt0086250,Scarface
106,tt0075314,Taxi Driver
107,tt0211915,Amélie
108,tt0056172,Lawrence of Arabia
109,tt0070735,The Sting
110,tt0435761,Toy Story 3
111,tt0017136,Metropolis
112,tt0044741,Ikiru
113,tt0059578,For a Few Dollars More
114,tt1832382,A Separation
115,tt0036775,Double Indemnity
116,tt0053604,The Apartment
117,tt1255953,Incendies
118,tt0056592,To Kill a Mockingbird
119,tt0097576,Indiana Jones and the Last Crusade
120,tt1049413,Up
121,tt2095684,L
122,tt0113277,Heat
123,tt0071853,Monty Python and the Holy Grail
124,tt2759632,Rashômon
125,tt0095016,Die Hard
126,tt0055630,Yojimbo
127,tt0372784,Batman Begins
128,tt0091251,Come and See
129,tt6966692,Green Book
130,tt0118849,Children of Heaven
131,tt0363163,Downfall
132,tt0105695,Unforgiven
133,tt0053291,Some Like It Hot
134,tt0347149,Howl's Moving Castle
135,tt0089881,Ran
136,tt0057115,The Great Escape
137,tt0042192,All About Eve
138,tt0268978,A Beautiful Mind
139,tt0112641,Casino
140,tt0457430,Pan's Labyrinth
141,tt0096283,My Neighbor Totoro
142,tt1305806,The Secret in Their Eyes
143,tt0081398,Raging Bull
144,tt0120735,"Lock, Stock and Two Smoking Barrels"
145,tt0993846,The Wolf of Wall Street
146,tt0055031,Judgment at Nuremberg
147,tt0040897,The Treasure of the Sierra Madre
148,tt0469494,There Will Be Blood
150,tt5027774,"Three Billboards Outside Ebbing, Missouri"
151,tt0015864,The Gold Rush
152,tt0071315,Chinatown
153,tt0046912,Dial M for Murder
154,tt0434409,V for Vendetta
155,tt0050976,The Seventh Seal
156,tt0477348,No Country for Old Men
157,tt2096673,Inside Out
158,tt1291584,Warrior
159,tt1130884,Shutter Island
160,tt0117951,Trainspotting
161,tt0080678,The Elephant Man
162,tt0167404,The Sixth Sense
163,tt0084787,The Thing
164,tt0031381,Gone with the Wind
165,tt3170832,Room
166,tt0107290,Jurassic Park
167,tt0050986,Wild Strawberries
168,tt0083658,Blade Runner
169,tt0050212,The Bridge on the River Kwai
170,tt0266543,Finding Nemo
171,tt0079944,Stalker
172,tt0047296,On the Waterfront
173,tt0041959,The Third Man
174,tt0116282,Fargo
175,tt0266697,Kill Bill: Vol. 1
176,tt0120382,The Truman Show
177,tt1205489,Gran Torino
178,tt0046438,Tokyo Story
179,tt0077416,The Deer Hunter
180,tt0353969,Memories of Murder
182,tt4729430,Klaus
183,tt8108198,Andhadhun
184,tt0116231,The Bandit
185,tt0118715,The Big Lebowski
186,tt0978762,Mary and Max
187,tt0107207,In the Name of the Father
188,tt2267998,Gone Girl
189,tt2119532,Hacksaw Ridge
190,tt0035446,To Be or Not to Be
191,tt2278388,The Grand Budapest Hotel
192,tt1950186,Ford v Ferrari
193,tt0060827,Persona
194,tt0112471,Before Sunrise
195,tt0264464,Catch Me If You Can
196,tt0892769,How to Train Your Dragon
197,tt0017925,The General
198,tt0356910,Mr. & Mrs. Smith
199,tt0015324,Sherlock Jr.
200,tt1392214,Prisoners
201,tt2024544,12 Years a Slave
202,tt0061512,Cool Hand Luke
203,tt1392190,Mad Max: Fury Road
204,tt0072684,Barry Lyndon
205,tt0074958,Network
206,tt0046268,The Wages of Fear
207,tt0092005,Stand by Me
208,tt0758758,Into the Wild
209,tt0405159,Million Dollar Baby
210,tt0079470,Monty Python's Life of Brian
211,tt1028532,Hachi: A Dog's Tale
212,tt0091763,Platoon
213,tt0052618,Ben-Hur
214,tt1979320,Rush
215,tt0019254,The Passion of Joan of Arc
216,tt3315342,Logan
217,tt0097165,Dead Poets Society
218,tt1201607,Harry Potter and the Deathly Hallows: Part 2
219,tt0060107,Andrei Rublev
220,tt0053198,The 400 Blows
221,tt0395169,Hotel Rwanda
222,tt0245712,Amores Perros
223,tt0405508,Rang De Basanti
